Geneid	SRR10440857	SRR10440859	SRR10440860	SRR10440861	SRR11357867	SRR11357868	SRR11357869	SRR11357870
ENSG00000023608.5	103	286	639	159	283	350	342	284
ENSG00000023697.13	1114	643	734	734	1072	1338	804	1028
ENSG00000023734.11	3013	1866	2464	1724	3075	2465	2096	2124
ENSG00000023839.12	23	37	15	17	63	70	18	46
ENSG00000023892.12	971	1804	645	1413	955	1272	505	1519
ENSG00000023902.14	1654	1793	806	1905	2043	2372	1690	4089
ENSG00000023909.10	612	577	264	1054	722	604	753	554
ENSG00000024048.11	1586	2207	831	3258	2387	2552	1567	2060
ENSG00000024422.12	3140	1565	3582	2231	9817	10589	4478	6071
ENSG00000024526.17	131	590	148	429	17	6	6	30
ENSG00000024862.18	263	575	566	567	796	1153	807	956
ENSG00000025039.15	367	987	402	336	1097	1008	890	657
ENSG00000025156.13	326	609	453	379	448	600	396	489
ENSG00000025293.17	659	947	1164	987	2287	1914	1209	1360
ENSG00000025423.11	119	111	231	609	1717	1303	4198	2490
ENSG00000025434.19	683	1494	487	1216	929	1514	673	1511
